Rank                                                                    Country                                     Score              Score             Rank change (2020)	Score change (2020)	Score Change (2006)	Rank	Country		Score	Score	Rank Change (2020)	Score Change (2020)	Score Change (2006)
                                                                                                                     0 -1             
1                                                                        Iceland                                     0,892             0,892               -               +0,016       +0,111         79               Thailand                 0,710   0,710   -4       +0,003   +0,027
2                                                                        Finland                                     0,861             0,861               1               +0,029       +0,065         80               Kazakhstan               0,710   0,710   -8       -0,001   +0,017
3                                                                        Norway                                      0,849             0,849               -1              +0,007       +0,050         81               Russian Federation       0,708   0,708   -        +0,002   +0,031
4                                                                        New Zealand                                 0,840             0,840               2               +0,041       +0,089         82               Tanzania                 0,707   0,707   -14      -0,006   +0,004
5                                                                        Sweden                                      0,823             0,823               -1              +0,003       +0,009         83               Cyprus                   0,707   0,707   8        +0,015   +0,064
6                                                                        Namibia                                     0,809             0,809               6               +0,025       +0,122         84               Malta                    0,703   0,703   6        +0,010   +0,051
7                                                                        Rwanda                                      0,805             0,805               2               +0,014       n/a            85               Uruguay                  0,702   0,702   -48      -0,035   +0,047
8                                                                        Lithuania                                   0,804             0,804               25              +0,059       +0,096         86               Paraguay                 0,702   0,702   14       +0,019   +0,046
9                                                                        Ireland                                     0,800             0,800               -2              +0,002       +0,066         87               Viet Nam                 0,701   0,701   -        +0,002   n/a
10                                                                       Switzerland                                 0,798             0,798               8               +0,019       +0,098         88               Romania                  0,700   0,700   -33      -0,024   +0,020
11                                                                       Germany                                     0,796             0,796               -1              +0,010       +0,044         89               Dominican Republic       0,699   0,699   -3       -0,001   +0,035
12                                                                       Nicaragua                                   0,796             0,796               -7              -0,008       +0,139         90               Belize                   0,699   0,699   20       +0,028   n/a
13                                                                       Belgium                                     0,789             0,789               14              +0,039       +0,081         91               Venezuela                0,699   0,699   -24      -0,014   +0,032
14                                                                       Spain                                       0,788             0,788               -6              -0,006       +0,056         92               Lesotho                  0,698   0,698   -4       +0,003   +0,017
15                                                                       Costa Rica                                  0,786             0,786               -2              +0,003       +0,092         93               Brazil                   0,695   0,695   -1       +0,004   +0,041
16                                                                       France                                      0,784             0,784               -1              +0,003       +0,132         94               Liberia                  0,693   0,693   3        +0,008   n/a
17                                                                       Philippines                                 0,784             0,784               -1              +0,003       +0,032         95               Kenya                    0,692   0,692   14       +0,021   +0,044
18                                                                       South Africa                                0,781             0,781               -1              +0,001       +0,068         96               Cameroon                 0,692   0,692   -        +0,006   +0,105
19                                                                       Serbia                                      0,780             0,780               20              +0,044       n/a            97               Ethiopia                 0,691   0,691   -15      -0,015   +0,096
20                                                                       Latvia                                      0,778             0,778               -9              -0,007       +0,069         98               Greece                   0,689   0,689   -14      -0,012   +0,035
21                                                                       Austria                                     0,777             0,777               13              +0,033       +0,078         99               Hungary                  0,688   0,688   6        +0,011   +0,019
22                                                                       Portugal                                    0,775             0,775               13              +0,031       +0,083         100              Azerbaijan               0,688   0,688   -6       +0,001   n/a
23                                                                       United Kingdom                              0,775             0,775               -2              +0,008       +0,038         101              Indonesia                0,688   0,688   -16      -0,013   +0,034
24                                                                       Canada                                      0,772             0,772               -5              +0,001       +0,056         102              Korea, Rep.              0,687   0,687   6        +0,016   +0,071
25                                                                       Albania                                     0,770             0,770               -5              +0,001       +0,109         103              Cambodia                 0,684   0,684   -14      -0,010   +0,055
26                                                                       Burundi                                     0,769             0,769               6               +0,024       n/a            104              Senegal                  0,684   0,684   -5       -0,000   n/a
27                                                                       Barbados                                    0,769             0,769               1               +0,019       n/a            105              Togo                     0,683   0,683   35       +0,068   n/a
28                                                                       Moldova                                     0,768             0,768               -5              +0,011       +0,055         106              Nepal                    0,683   0,683   -5       +0,003   +0,135
29                                                                       Denmark                                     0,768             0,768               -15             -0,014       +0,022         107              China                    0,682   0,682   -1       +0,006   +0,026
30                                                                       United States                               0,763             0,763               23              +0,039       +0,059         108              Kyrgyz Republic          0,681   0,681   -15      -0,007   +0,007
31                                                                       Netherlands                                 0,762             0,762               7               +0,026       +0,037         109              Myanmar                  0,681   0,681   5        +0,016   n/a
32                                                                       Mozambique                                  0,758             0,758               24              +0,035       n/a            110              Mauritius                0,679   0,679   5        +0,014   +0,046
33                                                                       Belarus                                     0,758             0,758               -4              +0,012       n/a            111              Brunei Darussalam        0,678   0,678   -16      -0,009   n/a
34                                                                       Mexico                                      0,757             0,757               -9              +0,003       +0,111         112              Malaysia                 0,676   0,676   -8       -0,001   +0,026
35                                                                       Argentina                                   0,752             0,752               -5              +0,005       +0,069         113              Fiji                     0,674   0,674   -10      -0,003   n/a
36                                                                       Lao PDR                                     0,750             0,750               7               +0,019       n/a            114              Armenia                  0,673   0,673   -16      -0,011   n/a
37                                                                       Trinidad and Tobago                         0,749             0,749               -13             -0,007       +0,069         115              Malawi                   0,671   0,671   1        +0,007   +0,027
38                                                                       Bulgaria                                    0,746             0,746               11              +0,019       +0,059         116              Sri Lanka                0,670   0,670   -14      -0,009   -0,050
39                                                                       Cuba                                        0,746             0,746               -8              +0,000       n/a            117              Ghana                    0,666   0,666   -10      -0,007   +0,000
40                                                                       Jamaica                                     0,741             0,741               1               +0,006       +0,040         118              Guinea                   0,660   0,660   7        +0,018   n/a
41                                                                       Slovenia                                    0,741             0,741               -5              -0,002       +0,066         119              Angola                   0,657   0,657   -1       -0,004   +0,053
42                                                                       Ecuador                                     0,739             0,739               6               +0,011       +0,096         120              Japan                    0,656   0,656   1        +0,003   +0,011
43                                                                       El Salvador                                 0,738             0,738               37              +0,032       +0,055         121              Sierra Leone             0,655   0,655   -10      -0,012   n/a
44                                                                       Panama                                      0,737             0,737               2               +0,007       +0,044         122              Guatemala                0,655   0,655   -9       -0,011   +0,049
45                                                                       Croatia                                     0,733             0,733               15              +0,013       +0,019         123              Benin                    0,653   0,653   -4       -0,004   +0,075
46                                                                       Estonia                                     0,733             0,733               -20             -0,019       +0,038         124              Burkina Faso             0,651   0,651   5        +0,016   +0,066
47                                                                       Zimbabwe                                    0,732             0,732               -               +0,002       +0,086         125              Tajikistan               0,650   0,650   12       +0,024   n/a
48                                                                       Montenegro                                  0,732             0,732               23              +0,021       n/a            126              Tunisia                  0,649   0,649   -2       +0,005   +0,020
49                                                                       Georgia                                     0,732             0,732               25              +0,024       +0,061         127              Gambia, The              0,644   0,644   9        +0,016   -0,000
50                                                                       Australia                                   0,731             0,731               -6              +0,000       +0,015         128              Maldives                 0,642   0,642   -5       -0,004   n/a
51                                                                       Suriname                                    0,729             0,729               26              +0,023       n/a            129              Egypt                    0,639   0,639   5        +0,010   +0,061
52                                                                       Eswatini                                    0,729             0,729               31              +0,026       +0,069         130              Bhutan                   0,639   0,639   1        +0,004   n/a
53                                                                       Guyana*                                     0,728             0,728               n/a             n/a          n/a            131              Jordan                   0,638   0,638   7        +0,015   +0,027
54                                                                       Singapore                                   0,727             0,727               -               +0,004       +0,072         132              Lebanon                  0,638   0,638   13       +0,038   n/a
55                                                                       Luxembourg                                  0,726             0,726               -4              +0,001       +0,059         133              Turkey                   0,638   0,638   -3       +0,003   +0,053
56                                                                       Zambia                                      0,726             0,726               -11             -0,005       +0,090         134              Côte d'Ivoire            0,637   0,637   8        +0,030   n/a
57                                                                       Madagascar                                  0,725             0,725               5               +0,007       +0,087         135              Papua New Guinea         0,635   0,635   -8       -0,001   n/a
58                                                                       Bahamas                                     0,725             0,725               3               +0,005       n/a            136              Algeria                  0,633   0,633   -4       -0,001   +0,031
59                                                                       Colombia                                    0,725             0,725               -37             -0,034       +0,020         137              Bahrain                  0,632   0,632   -4       +0,003   +0,043
60                                                                       Israel                                      0,724             0,724               4               +0,006       +0,035         138              Niger*                   0,629   0,629   n/a      n/a      n/a
61                                                                       Bolivia                                     0,722             0,722               -19             -0,012       +0,089         139              Nigeria                  0,627   0,627   -11      -0,008   +0,016
62                                                                       Peru                                        0,721             0,721               4               +0,007       +0,059         140              India                    0,625   0,625   -28      -0,042   +0,024
63                                                                       Italy                                       0,721             0,721               13              +0,014       +0,075         141              Vanuatu                  0,625   0,625   -15      -0,013   n/a
64                                                                       Timor-leste                                 0,720             0,720               53              +0,058       n/a            142              Qatar                    0,624   0,624   -7       -0,005   n/a
65                                                                       Bangladesh                                  0,719             0,719               -15             -0,006       +0,092         143              Kuwait                   0,621   0,621   -21      -0,029   -0,013
66                                                                       Uganda                                      0,717             0,717               -1              -0,000       +0,037         144              Morocco                  0,612   0,612   -1       +0,008   +0,030
67                                                                       Honduras                                    0,716             0,716               -9              -0,006       +0,068         145              Oman                     0,608   0,608   -1       +0,006   n/a
68                                                                       Cape Verde                                  0,716             0,716               -16             -0,009       n/a            146              Mauritania               0,606   0,606   -5       -0,008   +0,022
69                                                                       Mongolia                                    0,716             0,716               10              +0,010       +0,034         147              Saudi Arabia             0,603   0,603   -1       +0,003   +0,079
70                                                                       Chile                                       0,716             0,716               -13             -0,007       +0,070         148              Chad                     0,593   0,593   -1       -0,003   +0,068
71                                                                       Botswana                                    0,716             0,716               2               +0,006       +0,026         149              Mali                     0,591   0,591   -10      -0,030   -0,009
72                                                                       United Arab Emirates                        0,716             0,716               48              +0,060       +0,124         150              Iran, Islamic Rep.       0,582   0,582   -2       -0,002   +0,002
73                                                                       North Macedonia                             0,715             0,715               -3              +0,004       +0,017         151              Congo, Democratic Rep.   0,576   0,576   -2       -0,002   n/a
74                                                                       Ukraine                                     0,714             0,714               -15             -0,007       +0,034         152              Syria                    0,568   0,568   -2       +0,001   n/a
75                                                                       Poland                                      0,713             0,713               -35             -0,023       +0,033         153              Pakistan                 0,556   0,556   -2       -0,007   +0,013
76                                                                       Bosnia and Herzegovina                      0,713             0,713               -7              +0,001       n/a            154              Iraq                     0,535   0,535   -2       +0,005   n/a
77                                                                       Slovak Republic                             0,712             0,712               -14             -0,007       +0,036         155              Yemen                    0,492   0,492   -2       -0,002   +0,032
78                                                                       Czech Republic                              0,711             0,711               -               +0,004       +0,039         156              Afghanistan*             0,444   0,444   n/a      n/a      n/a
